Name,Type,Location,Reservation,Coat Check,Cover,Price,Stars,Link,Reviews,Business Hours,Number of Reviews
Lucy's American Tavern,American,Dorchester,No,,,$$,,https://www.lucysamericantavern.com/ ,,,0
Mochinut,Dessert Korean,Multiple locations,No,,,$$,,https://www.mochinut.com/,,,0
Rubato,Asian ,Quincy,,,,$,,https://www.rubato-food.com/,,,0
Chili Square,Chinese,Quincy,,,,$,,,,,0
Cucina Mia Cafe & Deli,Deli,Quincy,No,,,,,https://www.cucinamiacafe.com/ ,,,0
Wei Shu Wu Hot Pot,Chinese,Quincy,,,,,,,,,0
Cloud Asian Fusion & Bar,Asian ,Quincy,,,,$$,,https://www.cloudfusionbar.com/,,,0
H Mart Food Court,Asian ,Quincy,,,,,,https://www.hmart.com/store/quincy-ma-02169/f7c42f63-9d8a-442a-a782-b5c159795217,,,0
Prima,Italian,Charlestown,Yes,,,,,https://www.primaboston.com/,,,0
Boston Sail Loft,,80 Atlantic Ave,,,,$$,4.3,https://www.yelp.com/biz/boston-sail-loft-boston?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 11:30 AM - 02:00 AM; Tuesday: 11:30 AM - 02:00 AM; Wednesday: 11:30 AM - 02:00 AM; Thursday: 11:30 AM - 02:00 AM; Friday: 11:30 AM - 02:00 AM; Saturday: 11:30 AM - 02:00 AM; Sunday: 11:30 AM - 02:00 AM,0
SAVR,,150 Seaport Blvd,,,,$$$,4.2,https://www.yelp.com/biz/savr-boston?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 11:00 AM - 11:00 PM; Tuesday: 11:00 AM - 11:00 PM; Wednesday: 11:00 AM - 11:00 PM; Thursday: 11:00 AM - 11:00 PM; Friday: 11:00 AM - 11:00 PM; Saturday: 11:00 AM - 11:00 PM; Sunday: 11:00 AM - 11:00 PM,0
